"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","SNWD","TAVG","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-15","10.96","0.00","0.0",,"79",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-16","8.95","0.00","0.0",,"80",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-17","10.29","0.43","0.0",,"83","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-18","9.84","0.04","0.0",,"73","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-19","9.40","0.00","0.0",,"75",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-20","9.84","0.00","0.0",,"89",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-21","13.87","0.00","0.0",,"90",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-22","11.41","0.85","0.0",,"81","    1",,"    1",,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-23","11.18","1.03","0.0",,"67","    1",,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-24","5.14","0.00","0.0",,"71",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-25","8.72","0.00","0.0",,"73",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-26","7.83","0.00","0.0",,"75",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-27","9.84","0.00","0.0",,"75",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-07-28","10.07","0.00","0.0",,"79",,,,,,,,
